A Fungus, Hydnellum Dragon, 16 hours
Spectral Spruce, Ghostly Tree Dragon, 2 hours
Speedy Sense, Dash Dragon, 8 hours
Spiky Spire Brier, Thorn Dragon, 8 hours
Spiraling Storm, Vortex Dragon, 8 hours
Splash Zone, Jumpiplop Dragon, 8 hours
Splish Splash, Aquarian Dragon, 16 hours
Spring bringer, Pixie Dragon, 16 hours
Squall Shoal, Storm Dragon, 2 hours
Squash, Squish Dragon, 8 hours
Sssensational Sojourn, Hooded Dragon, 8 hours
Stainless Stained Glass, Murano Dragon, 8 hours
Standing Egg Rock, Stoneshell Dragon, 16 hours
Star Bright, Starlight Dragon, 16 hours
Star Shower, Meteor Dragon, 2 hours
Starboard Bound, Knarr Dragon, 16 hours
Starchy Goodness, Bloatato Dragon, 16 hours
Stark Strength, Armament Dragon, 8 hours
Stark Tundra, Winter Dragon, 16 hours
Stater's Stash, Electrum Dragon, 16 hours
Stay Frosty, Everfrost Dragon, 8 hours
Stay Lit, Solis Dragon, 16 hours
Staying Vigilant, Standstone Dragon, 8 hours
Stellar Core, Eridanian Dragon, 16 hours
Stellar Phenomcyon, Procyon Dragon, 16 hours
Stones of Surya, Solstice Dragon, 16 hours
Strawberry Nice, Ichigo Dragon, 8 hours
Streaming & Gleaming, Ribbon Dragon, 16 hours
Strongest of Potions, Lovesick Dragon, 8 hours
Sudsy Shores, Bubble Dragon, 8 hours
Summit Scare, Ghostly Mountain Dragon, 2 hours
Sun Salute, Dawnbringer Dragon, 16 hours
Sunshine Soirée, Summer Dragon, 16 hours
Surveil the Vale, Outrider Dragon, 8 hours
Swamps of Sadness, Melancholy Dragon, 16 hours
Swift Sweeper, Chimneypuff Dragon, 8 hours
Swimming in the Ocean, Neyvee Dragon, 8 hours
Swish Swoosh, Smigi Dragon, 8 hours
Sykie Meadows, Butterfly Dragon, 8 hours
Synergy, Geminian Dragon, 16 hours
Systematic Muncher, Chomp Dragon, 8 hours
T. Erra's Plea, Subterranean Dragon, 8 hours
Tales of Icebrand, Kotun Dragon, 8 hours
Tangled Web, Weaver Dragon, 8 hours
Tears of Joy, Vidalia Dragon, 16 hours
Tectonica Toil, Sandstorm Dragon, 8 hours
Ten Score Trench, Bicentennial Dragon, 8 hours
Ten Tins, Tien Dragon, 8 hours
Tenacious Drop, Metal Rift Dragon, 8 hours
Tentacle Terrace, Snowsquall Dragon, 8 hours
Tentacle Tickle, Ikatako Dragon, 8 hours
Tessa's Trek, Ironwood Dragon, 8 hours
Textile Test, Cotton Dragon, 8 hours
The 5th Precipice, Wyrmwood Dragon, 8 hours
The Awakening, Dawn Dragon, 16 hours
The Barragening, Hail Dragon, 2 hours
The Bolts of Faridat, Darkling Dragon, 8 hours
The Boneyard, Osteryx Dragon, 8 hours
The Bulls, Taurian Dragon, 16 hours
The Composer, Classical Dragon, 16 hours
The Fall, Autumn Dragon, 16 hours
The Fattening, Feast Dragon, 8 hours
The Floe Beyond, Ghostly Glacier Dragon, 2 hours
The Great Sneeze, Epoch Dragon, 8 hours
The Haunting of Wrothmoore, Ghostly Obsidian Dragon, 2 hours
The Life of the Party, Hanno Dragon, 8 hours
The Living Stone, Spellmason Dragon, 16 hours
The Mark of Wrothmoore, Obsidian Dragon, 2 hours
The Other Side, Smoke Dragon, 2 hours
The Perfect Caregiver, Florea Dragon, 8 hours
The Perfect Gift, Giddle Dragon, 8 hours
The Sedna Mountains, Emerald Dragon, 16 hours
The Shear Size, Puffles Dragon, 16 hours
The Skies of Faridat, Kite Dragon, 8 hours
The Sky's Not the Limit, Stella Dragon, 16 hours
The Snugglening, Cuddlewing Dragon, 8 hours
The Springening, Sakura Dragon, 8 hours
The Sweetest Scent, Ambrosia Dragon, 8 hours
The Uncertainty Antithesis, Ignite Dragon, 8 hours
The Wall of Shades, Shadow Dragon, 8 hours
The Warmth of Cheer, Candlecrown Dragon, 8 hours
The Wise Way, Gildamane Dragon, 16 hours
The Witching Hour, Midnight Dragon, 16 hours
Thermodynamic Panic, Heat Dragon, 2 hours
They Like To Throw Things, Yeti Dragon, 16 hours
Third Leap Year, Triple Leap Year Dragon, 16 hours
Thistlethumb Dig, Mistletoe Dragon, 8 hours
Thousand Acre Woods, Honeyglow Dragon, 16 hours
Tides of Winter Tidings, Yule Dragon, 16 hours
Time to Send a Letter, Gryphus Dragon, 8 hours
Time to Shred, Thrasher Dragon, 8 hours
Timeless Tail, Blightwing Dragon, 8 hours
Tomb of Kings, Pharaoh Dragon, 16 hours
Torrential Tribulation, Rain Dragon, 2 hours
Tough Egg to Crack, Minchi Dragon, 16 hours
Tour de Cyan, Aquamarine Dragon, 16 hours
Tower of Tantalia, Nectar Dragon, 8 hours
Toxic Trouble, Poison Dragon, 2 hours
Traditional Patterns, Tebori Dragon, 16 hours
Trail of Regale, Regal Dragon, 16 hours
Tran-quill-ity, Tranquil Dragon, 16 hours
Transcendent Traversal, Lotus Dragon, 2 hours
Treehop Time, Flowerhop Dragon, 8 hours
Triad Trench, Fates Dragon, 16 hours
Trial DCLVI, Omen Dragon, 16 hours
Trial of Denial, Daffadowndilly Dragon, 16 hours
Tricksy Trickster, Lokilure Dragon, 16 hours
Triple Axel, Aisa Dragon, 8 hours
Triple The Fun, Triple Rainbow Dragon, 16 hours
Triumph Turlough, Victory Dragon, 16 hours
True Unity, Lovonone Dragon, 16 hours
Tuber Trouble, Root Dragon, 2 hours
Tumbling Along, Tumblethorn Dragon, 8 hours
Tunnels of Mashe, Sanguinite Dragon, 16 hours
Turning the Tides, Tidepool Dragon, 8 hours
Twice Leapt Valley, Double Leap Year Dragon, 16 hours
Twilight Flight, Duskwing Dragon, 16 hours
Twin Rivalry, Amalgamate Dragon, 8 hours
Two Beautiful Heads, Grace Dragon, 16 hours
Ultramarine Scene, Lapis Dragon, 16 hours
Umbral Plunge, Lunar Eclipse Dragon, 16 hours
Unbearable Tunes, Sea Shanty Dragon, 16 hours
Under Your Spell, Mesmerus Dragon, 16 hours
Unencumbered Soar, Rosegold Dragon, 8 hours
Visitation Manifestation, Ghostly Spirit Dragon, 8 hours
Vivid Virtue, Violetta Dragon, 16 hours
Vocal Victory, Libretto Dragon, 8 hours
Waving Specialist, Stage Dragon, 8 hours
Wayward Wandering, Spirit Dragon, 8 hours
Weaving Through, Woven Dragon, 8 hours
Weeping Waterfall, Willow Dragon, 2 hours
Well of Madness, Trimera Dragon, 16 hours
West Wind Warning, Elysium Dragon, 16 hours
Wet and Magical, Aquacorn Dragon, 8 hours
Whacky Mazes, Bushwhack Dragon, 8 hours
When Life Gives You Limestones, Gatren Dragon, 8 hours
Whiff of Spring, Niamh Dragon, 8 hours
Whimsical Miracle, Whimsical Dragon, 8 hours
Whistling Woods, Thistle Dragon, 8 hours
Whitbee's Valley, Nosferatu Dragon, 8 hours
Whitbee's Visitation, Ghostly Nosferatu Dragon, 8 hours
Who Is Behind The Masque, Masque Dragon, 16 hours
Wicked Sick, Wick Dragon, 8 hours
Wicked Waves, Wavelyte Dragon, 16 hours
Wiggleswand Way, Tempest Dragon, 8 hours
Wild Side, Motley Dragon, 8 hours
Wimbledrip's Woe, Coldforge Dragon, 8 hours
Windy and Whirly, Whirlwind Dragon, 8 hours
Witchitoto Plains, Cyclone Dragon, 8 hours
Wood Cutter, Chuck Dragon, 8 hours
Wooden Way, Totem Dragon, 16 hours
Worse Than Coal..., Ghostly Krampus Dragon, 8 hours
Wreaths Wrath, Holly Dragon, 8 hours
Writer's Block Bluff, Muse Dragon, 16 hours
Ye Olde Rescue, Kampos Dragon, 8 hours
Year of the Bull, Teidian Dragon, 16 hours
Year of the Dragon, Panlong Dragon, 8 hours
Yellow Eyed Peas, Chikipea Dragon, 8 hours
Yogo Gulch, Sapphire Dragon, 16 hours
You Matter, Darkmatter Dragon, 16 hours
Zesty Zephyr, Wind Dragon, 2 hours
Zippity-zip-zap, Zipzap Dragon, 8 hours
Zombie Juice Diet, Wendigo Dragon, 16 hours
